SCHOOL,STUDENT_ID,STATE_STUDENT_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,GENDER,RACE,GRADE,BIRTH_YEAR,BIRTH_MONTH,BIRTH_DAY,BIRTH_DATE
15628,565234,5902614,Maria,Jeremy,Guzman,Male,Black,8,2009,3,12,3/12/2009
15628,685149,5369361,Terry,Marcus,Davis,Female,Multiple,11,2006,7,27,7/27/2006
15628,679858,5050043,William,Suzanne,Jacobson,Male,Hispanic,12,2006,1,25,1/25/2006
15628,697018,6646642,Brandi,Frank,Conway,Female,Multiple,9,2007,3,2,3/2/2007
15628,717387,3676959,Lewis,David,Thomas,Male,Hispanic,12,2005,12,26,12/26/2005
15628,497281,3270882,Irene,Norma,Burns,Female,White,9,2008,9,4,9/4/2008
15628,881304,9901647,Peter,Georgia,Baldwin,Male,Asian,10,2007,11,6,11/6/2007
15628,599670,8379524,Rosemary,Michael,Woods,Female,Multiple,8,2009,9,11,9/11/2009
15628,248846,2714950,Steven,Edith,Sanders,Male,White,11,2006,11,3,11/3/2006
15628,589979,3488852,Pamela,Albert,Myers,Female,White,11,2006,5,12,5/12/2006
15628,473456,5333254,Hattie,Susan,Anderson,Female,Black,12,2005,1,28,1/28/2005
15628,368997,6799025,Leroy,Frank,Lewis,Male,Multiple,8,2010,4,21,4/21/2010
15628,153390,6510188,Dorothy,Jonathan,Bradley,Female,White,11,2006,6,27,6/27/2006
15628,324997,3993977,David,Antoinette,Monroe,Male,Multiple,11,2006,8,23,8/23/2006
15628,258734,2897585,Barbra,Sharon,Faulkner,Female,Multiple,10,2007,6,7,6/7/2007
15628,518665,8954435,Paul,Deborah,Hernandez,Male,Hispanic,12,2005,4,8,4/8/2005
15628,745991,8135521,Lois,Yolanda,Davis,Female,Black,9,2008,12,22,12/22/2008
15628,198668,5140258,Kimberly,Patrick,Russell,Female,White,12,2005,3,8,3/8/2005
15628,887790,9734130,Allen,Judy,Douglas,Male,Hispanic,8,2009,3,15,3/15/2009
15628,527568,4536128,Peter,Jose,James,Male,Hispanic,11,2006,3,13,3/13/2006
15628,845133,8971858,Lloyd,William,Gould,Male,Black,11,2007,8,2,8/2/2007
15628,898952,6875741,Mason,Mark,Strickland,Male,White,12,2006,12,19,12/19/2006
15628,665107,7662933,Violet,Rosa,Stewart,Female,Black,8,2009,5,26,5/26/2009
15628,227533,8128096,Dave,Richard,Harper,Male,Multiple,9,2008,8,21,8/21/2008
15628,357760,9270730,Shirley,Terrell,Fletcher,Male,Black,9,2008,10,12,10/12/2008
15628,768402,7449277,Denis,Leon,Williams,Male,Asian,10,2007,12,1,12/1/2007
15628,860021,8816381,William,Robert,Hill,Male,White,9,2007,3,28,3/28/2007
15628,171159,5255741,William,Daniel,Harvey,Male,Hispanic,10,2007,5,4,5/4/2007
15628,959449,6186640,Anna,Chad,Martinez,Female,Hispanic,12,2006,6,19,6/19/2006
15628,845447,8920433,Roy,Terrance,Ward,Male,Asian,10,2007,8,6,8/6/2007
15628,596462,6311420,Jeremy,Ruben,Brown,Male,Asian,9,2008,4,20,4/20/2008
15628,484725,4939862,David,Charlie,Harrison,Male,Asian,8,2009,7,7,7/7/2009
15628,224672,3872472,Robin,Lynette,Christian,Female,White,12,2005,12,17,12/17/2005
15628,184944,6378039,Elizabeth,David,Foster,Female,Multiple,10,2006,9,11,9/11/2006
15628,815279,1700279,Carrie,Jason,Roberts,Female,Black,9,2008,6,26,6/26/2008
15628,477657,2503007,Todd,Melissa,Houston,Male,Multiple,8,2009,8,17,8/17/2009
15628,541655,3569821,Patsy,Bennett,Powell,Female,Black,10,2007,8,3,8/3/2007
15628,336109,4430029,Lora,Joy,Ruiz,Female,Asian,8,2009,4,11,4/11/2009
15628,770103,1003773,Joyce,Armando,Flores,Female,Black,11,2006,6,3,6/3/2006
15628,513603,8616011,Grace,Mary,Baker,Female,White,9,2008,12,4,12/4/2008
15628,564842,9274402,Jose,Stephen,Garza,Male,Asian,8,2009,5,1,5/1/2009
15628,527281,9424220,Charles,Sarah,Mora,Male,Black,9,2008,11,23,11/23/2008
15628,976379,3373513,Robert,Karl,Sullivan,Male,Hispanic,12,2005,7,24,7/24/2005
15628,417949,3486715,Shirley,Stuart,Cohen,Female,Hispanic,12,2005,7,26,7/26/2005
15628,284671,1219442,Gary,Rose,Stokes,Male,Black,10,2006,10,15,10/15/2006
15628,787071,2413904,Alicia,Hubert,Jones,Female,Multiple,10,2006,12,25,12/25/2006
15628,810461,5066316,Dave,Diane,Reynolds,Male,Hispanic,9,2007,9,28,9/28/2007
15628,765832,4084679,Lloyd,Mark,Ross,Male,Hispanic,8,2008,10,23,10/23/2008
15628,509748,8036712,Andrew,David,Taylor,Male,Multiple,12,2005,2,12,2/12/2005
15628,122883,5691222,Carlo,Jason,Anderson,Male,White,11,2006,1,19,1/19/2006
15628,514500,4567455,Spencer,Wanda,Hunter,Male,Black,10,2007,11,1,11/1/2007
15628,513972,4383212,Linda,Sandra,Nunez,Female,Black,10,2006,1,24,1/24/2006
15628,933835,7843252,Henry,Jose,Anderson,Male,Multiple,12,2005,9,19,9/19/2005
15628,640085,4200682,Harley,Marion,Owens,Male,White,10,2007,2,5,2/5/2007
15628,835464,4933705,Robert,Nelson,Wall,Male,Asian,11,2006,5,1,5/1/2006
15628,870993,8080353,Tyree,Annette,Harris,Male,Hispanic,11,2006,12,2,12/2/2006
15628,821190,3898733,Rodney,Lanny,Strong,Male,Black,11,2006,8,20,8/20/2006
15628,926975,3981255,Thomas,Phyllis,Robinson,Male,Black,9,2009,11,5,11/5/2009
15628,994953,2334201,Kathy,Martin,West,Female,Asian,9,2009,8,5,8/5/2009
15628,627678,9292794,Maryann,Clarence,Wang,Female,Hispanic,12,2005,7,23,7/23/2005
15628,342207,9019965,Louis,Lillian,Gilmore,Male,Asian,10,2006,11,14,11/14/2006
15628,334124,9632854,Mary,Laura,Campbell,Female,Black,11,2006,8,11,8/11/2006
15628,331971,8794142,Robert,Rodney,Miller,Male,Hispanic,8,2010,2,23,2/23/2010
15628,556443,6554006,Deborah,Judy,Snow,Female,Multiple,9,2008,6,16,6/16/2008
15628,183306,1464038,Lorraine,Gerald,Gonzalez,Female,Hispanic,12,2005,6,18,6/18/2005
15628,870011,7328240,Rachel,Danielle,Morrison,Female,Hispanic,12,2006,1,17,1/17/2006
15628,348690,4082097,Alice,Leah,Johnson,Female,Black,10,2007,6,4,6/4/2007
15628,872341,6707149,Brian,Elizabeth,Cochran,Male,Hispanic,12,2005,8,5,8/5/2005
15628,238240,2781408,Carol,Roger,Kirk,Female,Multiple,10,2007,2,23,2/23/2007
15628,949941,5695621,Rebecca,John,Bauer,Female,Asian,10,2007,2,4,2/4/2007
15628,147878,6669189,Diane,James,Rodriguez,Female,Asian,11,2006,11,10,11/10/2006
15628,952470,1132963,Samuel,Henry,Hendrix,Male,Asian,8,2009,8,11,8/11/2009
15628,571675,5105223,Judy,Linwood,Williams,Female,Black,12,2005,12,23,12/23/2005
15628,679216,1834908,Steven,Rose,Doyle,Male,Multiple,10,2007,6,12,6/12/2007
15628,879615,7609677,Mauricio,Manuel,Johnson,Male,Multiple,11,2006,11,1,11/1/2006
15628,151868,5620276,William,David,Roth,Male,Multiple,10,2007,1,28,1/28/2007
15628,444494,3669308,Ricardo,Barbara,Campos,Male,Asian,11,2006,2,18,2/18/2006
15628,424634,2513759,Josefina,Angelina,Sullivan,Female,Multiple,10,2007,1,7,1/7/2007
15628,343595,1343567,Charles,Heather,Miller,Male,Asian,10,2007,9,13,9/13/2007
15628,274018,4136785,Donald,Thomas,Martinez,Male,Hispanic,12,2004,4,8,4/8/2004
15628,310966,6880427,Patricia,John,Gonzalez,Female,White,8,2010,4,12,4/12/2010
15628,530093,9498750,Betty,Earl,Cole,Female,Asian,9,2008,5,15,5/15/2008
15628,353762,3701492,Troy,Eric,Landry,Male,Hispanic,12,2005,9,10,9/10/2005
15628,555106,5737391,Joan,Shelton,Pena,Female,Black,10,2007,10,9,10/9/2007
15628,846298,8230811,James,Mark,Collins,Male,Black,12,2005,3,11,3/11/2005
15628,186598,1779768,Arnold,Ramon,Jackson,Male,Hispanic,8,2009,11,13,11/13/2009
15628,638694,6875746,Linda,Tracy,Smith,Female,Hispanic,9,2008,11,16,11/16/2008
15628,200201,7740106,Mattie,Ellen,Martinez,Female,White,10,2008,12,18,12/18/2008
15628,283065,4539262,Alejandro,Charles,Hernandez,Male,White,8,2009,7,23,7/23/2009
15628,442100,1041070,Jack,Robert,Robinson,Male,Hispanic,8,2009,3,6,3/6/2009
15628,819274,9035404,Andrew,Geraldine,Turner,Male,Black,11,2006,8,11,8/11/2006
15628,317489,4987708,Lisa,Judy,Webb,Female,Multiple,10,2007,6,13,6/13/2007
15628,828443,6081846,Aida,Patricia,Patton,Female,Asian,10,2007,11,5,11/5/2007
15628,815350,7308179,Susan,Daphne,Barry,Female,Asian,9,2007,2,28,2/28/2007
15628,386967,4730899,Eva,Clara,Tapia,Female,Multiple,8,2009,8,25,8/25/2009
15628,522079,6676485,Antonio,David,Rice,Male,Multiple,8,2009,3,15,3/15/2009
15628,265140,6769061,Carl,Miguel,Walter,Male,Black,11,2006,9,28,9/28/2006
15628,669983,5828317,Kathrine,Carolyn,Stewart,Female,White,10,2007,6,6,6/6/2007
15628,487259,4313472,Bryan,Ronald,Smith,Male,Asian,10,2008,4,17,4/17/2008
15628,393554,1915205,George,Robert,Alvarez,Male,White,9,2008,10,13,10/13/2008
15628,704534,4529065,Antone,Angie,Johnson,Male,Asian,12,2005,12,12,12/12/2005
15628,111291,2007039,Lydia,Bessie,Kent,Female,Multiple,8,2010,1,12,1/12/2010
15628,904988,8604971,Miguel,Kathleen,Young,Male,Black,8,2009,7,25,7/25/2009
15628,336129,4982823,Keri,Robert,Miller,Female,Black,9,2008,1,6,1/6/2008
15628,500435,4668720,Catherine,Alma,Hodges,Female,Asian,11,2007,9,1,9/1/2007
15628,318098,1826946,Micheal,Peter,Evans,Male,Hispanic,12,2005,4,15,4/15/2005
15628,905471,9196955,Gloria,Gustavo,Hill,Female,Asian,11,2006,8,25,8/25/2006
15628,992833,3575418,Carlos,Randall,Rivera,Male,Asian,10,2007,7,3,7/3/2007
15628,813559,2357402,Nadine,Myrtle,Rodriguez,Female,Asian,9,2008,11,16,11/16/2008
15628,425186,4440994,William,Jessica,Duncan,Male,White,9,2008,10,20,10/20/2008
15628,258181,1168956,Joseph,Pam,Wu,Male,Multiple,9,2009,2,25,2/25/2009
15628,492275,4493541,Tina,Justin,Peterson,Female,White,12,2005,11,5,11/5/2005
15628,953742,6513720,Thomas,Toni,Collins,Male,White,12,2005,1,26,1/26/2005
15628,363578,4920875,Joan,Adam,Hansen,Male,Asian,10,2007,10,27,10/27/2007
15628,122960,1610797,Gloria,Jennifer,Simmons,Female,Hispanic,10,2006,10,2,10/2/2006
15628,741081,9705329,Veronica,Marilyn,Alvarado,Female,Multiple,10,2007,6,12,6/12/2007
15628,603115,2834163,Vernon,Jennifer,Johnson,Male,Black,8,2009,2,1,2/1/2009
15628,861564,2146492,Amanda,Thomas,Cox,Female,Multiple,10,2008,12,5,12/5/2008
15628,874191,1674416,Steve,Maria,Rogers,Male,Multiple,9,2008,12,2,12/2/2008
15628,597824,7952748,Jane,Bonita,Mcdowell,Female,Multiple,9,2008,1,26,1/26/2008
15628,726283,1405437,Alberta,Ernest,Stanley,Female,Black,10,2008,8,16,8/16/2008
15628,608366,9423347,Edward,Nicole,Cervantes,Male,Asian,11,2006,5,12,5/12/2006
15628,104795,8947531,Jason,Ida,Mann,Male,Multiple,10,2007,2,6,2/6/2007
15628,878822,6966381,Jodi,Roberta,Hill,Female,Multiple,8,2010,7,26,7/26/2010
15628,997377,6263718,Amanda,Kimberly,Barrett,Female,White,12,2005,12,6,12/6/2005
15628,409338,1101022,Percy,Maxine,Waters,Male,Multiple,12,2005,6,18,6/18/2005
15628,512409,3068152,Stephen,Ann,Gomez,Male,Asian,11,2006,5,26,5/26/2006
15628,845772,2197073,Sandra,Vicki,Velez,Female,Hispanic,9,2009,11,8,11/8/2009
15628,219437,8847506,Andre,Raul,Wilson,Male,Hispanic,8,2009,4,5,4/5/2009
15628,261144,1791754,William,Vincent,Cordova,Male,Black,11,2007,6,9,6/9/2007
15628,572334,7594776,Thomas,Joshua,Wells,Male,Black,8,2010,9,27,9/27/2010
15628,181841,9785189,Maude,Chang,Parker,Female,White,11,2006,12,7,12/7/2006
15628,213980,7084151,Myrtle,Jeffrey,Moore,Female,Hispanic,10,2007,4,11,4/11/2007
15628,486810,7361131,Rupert,Edward,Brown,Male,Black,9,2009,5,19,5/19/2009
15628,497538,6900900,David,Jennifer,Glover,Male,Asian,10,2007,12,24,12/24/2007
15628,567147,7748695,Mary,Scott,Zuniga,Male,Black,10,2007,3,11,3/11/2007
15628,185014,9215194,Rose,Ernesto,Howard,Female,Hispanic,11,2006,7,13,7/13/2006
15628,155571,3340897,Rose,Anna,Russell,Female,White,12,2005,12,21,12/21/2005
15628,672182,3382359,John,Michelle,Garcia,Female,Asian,10,2006,2,15,2/15/2006
15628,149942,9525342,Eric,William,Oliver,Male,Multiple,10,2007,8,4,8/4/2007
15628,898628,6787343,Juan,Charles,Cook,Male,Black,8,2009,6,11,6/11/2009
15628,473679,4515254,Nadia,Robin,Moss,Female,White,9,2008,7,17,7/17/2008
15628,751485,3352737,Scott,Michelle,Flores,Male,Asian,10,2006,6,7,6/7/2006
15628,415956,4417844,Josephine,Jean,Peterson,Female,Multiple,8,2009,6,12,6/12/2009
15628,822428,6698874,Glen,Roland,Hensley,Male,White,8,2009,4,7,4/7/2009
15628,253143,2022153,Deborah,Rhonda,Woods,Female,White,8,2009,1,10,1/10/2009
15628,150099,2796966,Joan,Jamie,Trejo,Male,Asian,12,2005,12,18,12/18/2005
15628,260258,6997676,Kelly,John,Jackson,Male,Asian,9,2008,4,19,4/19/2008
15628,493449,5461991,Kimberly,Billy,Foster,Female,Multiple,10,2007,3,12,3/12/2007
15628,470163,6963240,Ladonna,Donald,Cox,Female,Multiple,12,2005,2,19,2/19/2005
15628,764541,9751289,William,Inez,Johnson,Male,Black,9,2008,1,8,1/8/2008
15628,660262,9668141,George,Neil,Watkins,Male,Hispanic,8,2009,6,6,6/6/2009
15628,797005,7597279,Robert,Richie,Mann,Female,Hispanic,12,2005,6,11,6/11/2005
15628,259526,2442235,Margie,Robert,Mcmillan,Female,Multiple,12,2004,9,11,9/11/2004
15628,382700,9091869,Reginald,Dolores,Frank,Male,Black,12,2005,9,11,9/11/2005
15628,131353,2839276,Donald,Carolyn,Cox,Male,White,9,2008,4,16,4/16/2008
15628,995380,1082508,Phillip,Lela,Roberts,Male,Black,12,2005,1,12,1/12/2005
15628,250071,2130941,Jason,Gwendolyn,Knight,Male,Multiple,8,2009,1,18,1/18/2009
15628,985635,8333906,Dorothy,Olin,Taylor,Female,Asian,12,2005,1,21,1/21/2005
15628,372210,9535257,Julia,Lori,Nava,Female,Multiple,9,2007,7,6,7/6/2007
15628,235711,2529969,Santos,Frank,Hinton,Male,Hispanic,9,2008,10,4,10/4/2008
15628,922241,6280821,Anthony,Regina,Gray,Male,Black,12,2005,3,27,3/27/2005
15628,195941,5157815,Joseph,Paul,Williams,Male,White,10,2007,10,6,10/6/2007
15628,247708,9208557,Robert,Helen,Daniel,Male,Hispanic,10,2007,6,23,6/23/2007
15628,547457,2303556,Anna,Teresa,Cooper,Female,Hispanic,12,2004,2,14,2/14/2004
15628,297258,9731586,David,Stefan,Hill,Male,Multiple,10,2007,5,7,5/7/2007
15628,362127,2698830,Anna,Richard,Brown,Female,Black,11,2005,5,4,5/4/2005
15628,248242,6271601,Charles,Peter,Martin,Male,Hispanic,11,2005,4,26,4/26/2005
15628,135644,2731844,Manuel,Esther,Love,Male,Black,9,2008,3,27,3/27/2008
15628,914391,9415478,Anna,Mary,Mendoza,Female,Asian,11,2006,10,27,10/27/2006
15628,725741,5778837,Shelly,Charles,Harris,Female,Asian,10,2007,5,12,5/12/2007
15628,668943,2948103,Dominic,Cindy,Torres,Male,Asian,12,2005,10,14,10/14/2005
15628,759298,2839051,Yvette,Linda,Day,Female,Hispanic,9,2008,6,12,6/12/2008
15628,175880,3497219,James,Patricia,Baker,Male,Black,10,2007,2,14,2/14/2007
15628,868056,1822801,Albert,Kevin,Ford,Male,Asian,8,2009,5,7,5/7/2009
15628,485731,8943485,Leon,Jeanette,Smith,Male,Multiple,10,2007,11,1,11/1/2007
15628,862326,7818248,Bertha,Adrienne,Young,Female,Hispanic,8,2009,1,23,1/23/2009
15628,805049,6718573,Patricia,Nelson,Cruz,Female,Asian,12,2005,2,20,2/20/2005
15628,172566,4401800,Rickey,Brandy,Melendez,Male,Asian,12,2006,7,2,7/2/2006
15628,579585,6095322,Timothy,Brett,Hoover,Male,White,10,2007,11,14,11/14/2007
15628,280154,1990708,Marcelino,Susan,Lam,Male,Asian,10,2007,1,19,1/19/2007
15628,862174,2035032,Michael,Stephen,Nguyen,Male,Hispanic,9,2008,2,19,2/19/2008
15628,703954,3773304,Ahmad,Francis,Macias,Male,Asian,8,2008,1,27,1/27/2008
15628,842223,4077482,William,Martha,Salazar,Male,Black,8,2009,7,23,7/23/2009
15628,939299,2370153,Boyd,William,Blanchard,Male,Asian,8,2009,6,6,6/6/2009
15628,868290,6159985,Steve,John,Davila,Male,Asian,12,2005,5,22,5/22/2005
15628,801744,6599148,John,Pamela,Ponce,Male,Hispanic,10,2006,3,28,3/28/2006
15628,167568,3944168,Juan,Deborah,Golden,Male,Asian,8,2009,2,24,2/24/2009
15628,974263,8426021,Stephen,Thomas,Wiley,Male,Asian,8,2008,1,1,1/1/2008
15628,384780,8661074,Janice,Janet,Mcclure,Female,White,8,2009,7,14,7/14/2009
15628,399396,3894128,Rosie,Gregory,Miranda,Female,Multiple,8,2009,1,21,1/21/2009
15628,983690,8359169,Loretta,Robert,Kirby,Female,Asian,9,2008,4,24,4/24/2008
15628,362624,3889047,John,Amy,Ponce,Male,Black,9,2008,3,28,3/28/2008
15628,627941,1675370,Abraham,James,Pierce,Male,Black,9,2008,2,25,2/25/2008
15628,107990,1944218,Alexis,Leonardo,Ingram,Female,Hispanic,9,2009,1,23,1/23/2009
15628,172563,2648275,Melanie,Robert,Robertson,Female,Hispanic,12,2005,12,7,12/7/2005
15628,598567,7441410,Cedric,Francis,Ramos,Male,Hispanic,9,2008,9,24,9/24/2008
15628,535361,9923365,Mary,Leona,Cunningham,Female,Asian,9,2008,1,6,1/6/2008
15628,270984,2436884,Jose,Michael,Smith,Male,Multiple,9,2009,4,23,4/23/2009
15628,667023,5940567,Diane,James,Hahn,Female,Asian,10,2006,3,10,3/10/2006
15628,391679,7194456,Patricia,Robert,Benson,Female,Asian,8,2009,5,16,5/16/2009
15628,347199,2057902,Stevie,James,Porter,Male,Asian,9,2008,2,14,2/14/2008
15628,774681,1180393,Clifton,Megan,Williams,Male,Black,12,2005,2,4,2/4/2005
15628,141843,3561793,Marjorie,Gary,Berger,Female,White,11,2006,10,25,10/25/2006
15628,957339,7726364,Myrna,Lloyd,Davila,Female,Black,9,2009,3,3,3/3/2009
15628,781354,3366722,Erica,Scott,Greene,Female,Black,12,2005,4,9,4/9/2005
15628,890049,8062332,Eric,Gregory,Perry,Male,White,8,2009,2,7,2/7/2009
15628,980808,4361084,Laura,Lindsey,Rhodes,Female,Hispanic,9,2008,10,14,10/14/2008
15628,685460,8713496,Susan,Aaron,Rose,Female,Asian,12,2005,9,10,9/10/2005
15628,163460,1931441,Bryan,Michael,Savage,Male,Hispanic,9,2009,5,18,5/18/2009
15628,501362,3072666,Ann,William,Navarro,Female,Asian,10,2006,6,2,6/2/2006
15628,280940,1794192,Tyrone,Diane,Snow,Male,Hispanic,11,2006,1,1,1/1/2006
15628,287998,5254330,Jay,Dylan,Brooks,Male,Black,8,2008,2,15,2/15/2008
15628,479513,4537965,Peter,Louise,Pena,Male,Asian,8,2009,2,26,2/26/2009
15628,539363,1294278,Daisy,Kenneth,Cochran,Female,Asian,12,2006,11,6,11/6/2006
15628,126236,1672657,Edmond,Theodore,Castro,Male,Black,11,2006,5,3,5/3/2006
15628,890229,3820206,Eddie,Eric,Clark,Male,Asian,10,2006,12,25,12/25/2006
15628,577833,8328414,Jennifer,Norman,Harper,Female,Black,9,2008,12,11,12/11/2008
15628,185206,4775810,Dawn,Edith,Gonzalez,Female,White,10,2007,4,14,4/14/2007
15628,842548,4084274,Joy,Marguerite,Ryan,Female,Black,12,2005,6,2,6/2/2005
15628,733324,3789708,Jason,Robert,Rodriguez,Male,Hispanic,9,2008,10,10,10/10/2008
15628,405121,8862986,Mildred,Thomas,Ahmed,Female,Asian,9,2008,11,19,11/19/2008
15628,311142,8229188,Robert,Sarah,Elliott,Male,Black,9,2008,11,23,11/23/2008
15628,498591,1425586,Jimmy,Michelle,Harris,Male,Hispanic,9,2008,4,16,4/16/2008
15628,447498,4361678,Ivan,Etta,Williams,Male,Asian,11,2005,10,21,10/21/2005
15628,586440,8172062,Michael,Jane,Thompson,Male,Hispanic,12,2005,9,25,9/25/2005
15628,856953,3714947,Anna,William,Wilson,Female,White,11,2006,3,1,3/1/2006
15628,963776,8136437,Jenny,Rose,Chavez,Female,Black,10,2007,11,23,11/23/2007
15628,185331,9391377,Martha,Jason,Villegas,Female,Hispanic,8,2008,8,13,8/13/2008
15628,530953,1902144,John,Ron,Riley,Male,White,11,2006,8,15,8/15/2006
15628,123237,7802547,Samuel,Alison,Ruiz,Male,Hispanic,12,2005,1,26,1/26/2005
15628,819973,8919905,Sherry,Dennis,Xiong,Female,White,12,2005,2,8,2/8/2005
15628,500546,7321341,Robert,Jean,Drake,Male,Hispanic,10,2007,9,25,9/25/2007
15628,217431,5893686,Joe,Don,Galindo,Male,Asian,10,2007,7,1,7/1/2007
15628,637991,2893297,Richard,David,Gomez,Male,White,8,2010,11,9,11/9/2010
15628,201124,9695962,Kristen,Jeanne,Jones,Female,Multiple,12,2005,4,15,4/15/2005
15628,101590,3085641,Ellen,Charles,Sosa,Female,Black,9,2008,8,5,8/5/2008
15628,264780,3821649,Timothy,April,Munoz,Male,Black,12,2005,2,13,2/13/2005
15628,604673,3222039,Kristine,Mayra,Butler,Female,Asian,8,2009,10,12,10/12/2009
15628,655486,1283598,Karl,Wayne,Vasquez,Male,Asian,12,2004,7,13,7/13/2004
